"date","poll","unit","region_id","process_id","source","timezone","value","region_name","country"
2020-09-30,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-6.27568013399427,"Berlin","DE"
2020-09-29,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-0.72411196299452,"Berlin","DE"
2020-09-28,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-5.17487562189032,"Berlin","DE"
2020-09-27,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-13.3087491083413,"Berlin","DE"
2020-09-26,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-8.31391894544948,"Berlin","DE"
2020-09-25,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",1.43672185234064,"Berlin","DE"
2020-09-24,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",5.70940764069046,"Berlin","DE"
2020-09-23,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",8.08575049917363,"Berlin","DE"
2020-09-22,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",8.72991468982937,"Berlin","DE"
2020-09-21,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",3.03717159668157,"Berlin","DE"
2020-09-20,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-1.04567795231047,"Berlin","DE"
2020-09-19,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-6.31560807474419,"Berlin","DE"
2020-09-18,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-2.73654105888624,"Berlin","DE"
2020-09-17,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-3.42529310496003,"Berlin","DE"
2020-09-16,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-1.09604606172741,"Berlin","DE"
2020-09-15,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",3.03782364285032,"Berlin","DE"
